Retranslate simanim 1-100 codes=[hebrew_in_english,untranslated_copy] dry=false
OK siman_084\siftei-kohen\part-001.txt seif 1 marker ו
OK siman_084\siftei-kohen\part-001.txt seif 1 marker ז
OK siman_084\siftei-kohen\part-001.txt seif 2 marker _
OK siman_084\siftei-kohen\part-001.txt seif 3 marker א
OK siman_084\siftei-kohen\part-001.txt seif 3 marker ב
OK siman_084\siftei-kohen\part-001.txt seif 4 marker א
OK siman_084\siftei-kohen\part-001.txt seif 4 marker ב
OK siman_084\siftei-kohen\part-001.txt seif 4 marker ג
OK siman_084\siftei-kohen\part-001.txt seif 5 marker א
OK siman_084\siftei-kohen\part-001.txt seif 5 marker ב
OK siman_084\siftei-kohen\part-001.txt seif 5 marker ג
OK siman_084\siftei-kohen\part-001.txt seif 5 marker ד
OK siman_084\siftei-kohen\part-001.txt seif 5 marker ה
OK siman_084\siftei-kohen\part-001.txt seif 6 marker א
OK siman_084\siftei-kohen\part-001.txt seif 6 marker ב
OK siman_084\siftei-kohen\part-001.txt seif 7 marker _
OK siman_084\siftei-kohen\part-001.txt seif 8 marker א
OK siman_084\siftei-kohen\part-001.txt seif 8 marker ב
OK siman_084\siftei-kohen\part-001.txt seif 8 marker ג
OK siman_084\siftei-kohen\part-001.txt seif 8 marker ד
OK siman_084\siftei-kohen\part-001.txt seif 8 marker ה
OK siman_084\siftei-kohen\part-001.txt seif 8 marker ו
OK siman_084\siftei-kohen\part-001.txt seif 8 marker ז
OK siman_084\siftei-kohen\part-001.txt seif 9 marker א
OK siman_084\siftei-kohen\part-001.txt seif 9 marker ב
OK siman_084\siftei-kohen\part-001.txt seif 9 marker ג
OK siman_084\siftei-kohen\part-001.txt seif 9 marker ד
OK siman_084\siftei-kohen\part-001.txt seif 9 marker ה
OK siman_084\siftei-kohen\part-001.txt seif 10 marker _
OK siman_084\siftei-kohen\part-001.txt seif 11 marker א
OK siman_084\siftei-kohen\part-001.txt seif 11 marker ב
OK siman_084\siftei-kohen\part-001.txt seif 12 marker _
OK siman_084\siftei-kohen\part-001.txt seif 13 marker _
OK siman_084\siftei-kohen\part-001.txt seif 14 marker א
OK siman_084\siftei-kohen\part-001.txt seif 14 marker ב
OK siman_084\siftei-kohen\part-001.txt seif 16 marker א
OK siman_084\siftei-kohen\part-001.txt seif 16 marker ד
OK siman_084\siftei-kohen\part-001.txt seif 16 marker ה
OK siman_084\siftei-kohen\part-001.txt seif 16 marker ו
OK siman_084\turei-zahav\part-001.txt seif 1 marker א
OK siman_084\turei-zahav\part-001.txt seif 1 marker ב
OK siman_084\turei-zahav\part-001.txt seif 1 marker ג
OK siman_084\turei-zahav\part-001.txt seif 1 marker ד
OK siman_084\turei-zahav\part-001.txt seif 3 marker _
